text,sensitive_data_level
12 Nguyễn Huệ,3
45B Trần Phú,3
23/5 Lê Lợi,3
50/12A Nguyễn Văn Linh,3
78A Hoàng Diệu,3
102 Đường 30/4,3
345 Trần Hưng Đạo,3
12/7 Nguyễn Thái Học,3
89 Cách Mạng Tháng Tám,3
234A Lê Hồng Phong,3
567B Hùng Vương,3
90/12 Điện Biên Phủ,3
11 Nguyễn Du,3
22 Lý Thường Kiệt,3
33 Trần Cao Vân,3
44 Phạm Văn Đồng,3
55 Hai Bà Trưng,3
66 Võ Thị Sáu,3
77 Trường Chinh,3
88 Bạch Đằng,3
99 Nguyễn Trãi,3
10 Nguyễn Tất Thành,3
11 Ấp Bắc,3
12 Xô Viết Nghệ Tĩnh,3
13 Đinh Tiên Hoàng,3
14 Phan Đình Phùng,3
15 Nguyễn Tri Phương,3
16 Quốc lộ 1A,3
17 Lê Quý Đôn,3
18 Trần Phú,3
19 Nguyễn An Ninh,3
20 Trần Khát Chân,3
21 30 Tháng 4,3
22 Thủ Khoa Huân,3
23 Nguyễn Công Trứ,3
24 Nơ Trang Long,3
25 Pasteur,3
26 Bà Triệu,3
27 Hàm Nghi,3
28 Cổ Linh,3
29 Nguyễn Sinh Cung,3
30 Lê Văn Tám,3
31 Nguyễn Đình Chiểu,3
32 Hùng Vương,3
33 Trần Hưng Đạo,3
34 Trần Quý Cáp,3
35 Lý Thường Kiệt,3
36 Ngô Tất Tố,3
37 Lê Thánh Tôn,3
38 Hàng Gai,3
39 Tiểu La,3
40 Trường Sa,3
41 Nguyễn Trãi,3
42 Bình Giã,3
43 Wừu,3
44 Trần Cao Vân,3
45 Đại Lộ Hòa Bình,3
46 Tôn Đức Thắng,3
47 Lê Thị Hồng Gấm,3
48 Phan Văn Trị,3
49 Đồng Khởi,3
50 Đinh Liệt,3
51 Ông Ích Khiêm,3
52 Võ Nguyên Giáp,3
53 Nguyễn Huệ,3
54 Ba Cu,3
55 Trần Hưng Đạo,3
56 Phan Bội Châu,3
57 Mậu Thân,3
58 Nguyễn Hội,3
59 Nguyễn Trung Trực,3
60 Nguyễn Xí,3
61 Hàm Nghi,3
62 Hàng Đào,3
63 Trần Phú,3
64 Đường 5,3
65 Lê Lợi,3
66 Trương Công Định,3
67 Hùng Vương,3
68 Nguyễn Du,3
69 Nguyễn Văn Cừ,3
70 Lê Hồng Phong,3
71 Hùng Vương,3
72 Hoàng Hoa Thám,3
73 Nguyễn Thị Minh Khai,3
74 Lý Thái Tổ,3
75 Lê Duẩn,3
76 Cao Lỗ,3
77 Trần Cao Vân,3
78 Phạm Hồng Thái,3
79 Trần Phú,3
80 Trần Khát Chân,3
81 Nguyễn Trãi,3
82 Tôn Đức Thắng,3
83 Nguyễn Huệ,3
84 Đinh Bộ Lĩnh,3
85 Lê Lai,3
86 Phố Huế,3
87 Hoàng Diệu,3
88 Nguyễn Văn Linh,3
89 Đống Đa,3
90 Nguyễn Du,3
91 Trần Hưng Đạo,3
92 Bạch Đằng,3
93 30 Tháng 4,3
94 Thủ Khoa Huân,3
95 Nguyễn Công Trứ,3
96 Xô Viết Nghệ Tĩnh,3
97 Pasteur,3
98 Bà Triệu,3
99 Hàm Nghi,3
100 Cổ Linh,3
23 Nguyễn Du,3
12A Trần Hưng Đạo,3
45B Lê Lợi,3
23/5 Hoàng Văn Thụ,3
50/12A Nguyễn Trãi,3
78 Điện Biên Phủ,3
105 Trần Phú,3
32 Đường 30/4,3
67 Quang Trung,3
91 Nguyễn Văn Linh,3
15 Hai Bà Trưng,3
4 Trần Cao Vân,3
88 Yersin,3
22 Lê Hồng Phong,3
16 Nguyễn Huệ,3
56 Trần Khát Chân,3
8/3 Lý Thường Kiệt,3
12 Phan Bội Châu,3
112 Nguyễn Thị Minh Khai,3
34A Hàng Gai,3
76 Ông Ích Khiêm,3
99 Cách Mạng Tháng Tám,3
44 Nguyễn An Ninh,3
6 Nguyễn Trường Tộ,3
32A Nguyễn Thiện Thuật,3
12B Nguyễn Đình Chiểu,3
54 Nguyễn Thái Học,3
15/2 Nguyễn Đình Chiểu,3
67 Bà Triệu,3
123 Nguyễn Tất Thành,3
43 Lê Thị Riêng,3
7/1 Nguyễn Tri Phương,3
