text,label
Quỳnh,2
Nguyễn Thị Như,2
Nguyễn Thị Như Quỳnh,3
Nguyễn,0
Quân,2
Lê Hoàng,2
Lê Hoàng Quân,3
Lê,0
Phượng,2
Đinh Văn,2
Đinh Văn Phượng,3
Đinh,0
Samuel,2
Nguyễn Echam,2
Nguyễn Echam Samuel,3
Sang,2
Nguyễn Xuân,2
Nguyễn Xuân Sang,3
Quý,2
Lê Phú,2
Lê Phú Quý,3
Quyền,2
Lý Quốc,2
Lý Quốc Quyền,3
Lý,0
Bùi Minh,2
Bùi Minh Quân,3
Bùi,0
Sơn,2
Nguyễn Ngọc,2
Nguyễn Ngọc Sơn,3
Qúy,2
Bùi Duy,2
Bùi Duy Qúy,3
Phương,2
Võ Hoàng,2
Võ Hoàng Phương,3
Võ,0
Trần Minh,2
Trần Minh Phương,3
Trần,0
Quốc,2
Phan Duy,2
Phan Duy Quốc,3
Phan,0
Quyên,2
Nguyễn Vũ Ngọc,2
Nguyễn Vũ Ngọc Quyên,3
Trương Trọng,2
Trương Trọng Quân,3
Trương,0
Phạm Minh,2
Phạm Minh Quân,3
Phạm,0
Sanh,2
Võ Thanh,2
Võ Thanh Sanh,3
Nguyễn Minh,2
Nguyễn Minh Phương,3
Nguyễn Viết,2
Nguyễn Viết Sơn,3
Vũ Hoàng Hải,2
Vũ Hoàng Hải Sơn,3
Vũ,0
Nguyễn Hải,2
Nguyễn Hải Sơn,3
Nguyễn Vũ Trường,2
Nguyễn Vũ Trường Sơn,3
Trần Minh Sang,3
Nguyễn Trung,2
Nguyễn Trung Sơn,3
Quang,2
Lê,2
Lê Quang,3
Vũ Thị,2
Vũ Thị Phương,3
Nguyễn Văn,2
Nguyễn Văn Sơn,3
Lê Anh,2
Lê Anh Sơn,3
Sĩ,2
Võ Tiến,2
Võ Tiến Sĩ,3
Phan Đức,2
Phan Đức Sơn,3
Trần Thế,2
Trần Thế Sơn,3
Tâm,2
Vũ Hồng,2
Vũ Hồng Tâm,3
Tân,2
Nguyễn Minh Tân,3
