column_name,sensitive_data_level
full_name,3
surname,3
middle_name,3
given_name,3
other_names,3
dob,3
date_of_birth,3
date_of_death,3
date_of_disappearance,3
gender,3
birth_place,3
birth_registration_place,3
permanent_residence,3
temporary_residence,3
current_residence,3
hometown,3
contact_address,3
nationality,3
personal_image,3
phone,3
phone_number,3
id_card_number,3
cccd,3
personal_id,3
passport_number,3
driver_license_number,3
license_plate,3
tax_code,3
mst,3
social_insurance_number,3
bhxh,3
health_insurance_number,3
bhyt,3
marital_status,3
parent_name,3
father_name,3
mother_name,3
children_names,3
child_name,3
personal_digital_account,3
cyberspace_activity_history,3
user_activity_log,3
login_history,3
ip_address,3
email,3
username,3
device_id,3
imei,3
mac_address,3
isbn,3
employee_id,3
company_id,3
customer_id,3
bank_account_number,3
credit_card_number,3
debit_card_number,3
financial_transaction_history,3
ho_va_ten,3
ho,3
ten_dem,3
ten,3
biệt_danh,3
ngay_sinh,3
ngay_mat,3
ngay_mat_tich,3
gioi_tinh,3
noi_sinh,3
noi_dang_ky_khai_sinh,3
ho_khau,3
tam_tru,3
noi_o_hien_tai,3
que_quan,3
dia_chi_lien_he,3
quoc_tich,3
hinh_anh_ca_nhan,3
so_dien_thoai,3
sdt,3
can_cuoc_cong_dan,3
so_cmnd,3
so_ho_chieu,3
so_gplx,3
bien_so_xe,3
ma_so_thue,3
so_bao_hiem_xa_hoi,3
so_the_bao_hiem_y_te,3
tinh_trang_hon_nhan,3
ten_cha,3
ten_me,3
ten_bo_me,3
ten_con,3
tai_khoan_ca_nhan,3
lich_su_hoat_dong_mang,3
nhat_ky_truy_cap,3
lich_su_dang_nhap,3
dia_chi_ip,3
ten_dang_nhap,3
id_thiet_bi,3
mac,3
ma_nhan_vien,3
ma_cong_ty,3
ma_khach_hang,3
so_tai_khoan_ngan_hang,3
stk,3
so_the_tin_dung,3
so_the_ghi_no,3
lich_su_giao_dich,3
ho_va_ten_day_du,3
full_name_complete,3
ten_khai_sinh,3
birth_name,3
ten_thuong_dung,3
